Trà Sữa Ông Thọ - Đinh Châu,"116 Đinh Châu, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",6.0,"Café/Dessert-Món Việt- Sinh viên, Nhóm hội, Giới văn phòng-Chi nhánh",07:00 - 22:00,10.000đ -30.000đ
Lá Coffee - Nguyễn Nhàn,"81 - 83 Nguyễn Nhàn, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",8.4,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng",07:00 - 22:00,10.000đ -30.000đ
Blue Sky Coffee,"99 Nguyễn Nhàn, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",8.0,Café/Dessert-Món Việt- Nhóm hội,07:00 - 22:00,10.000đ -30.000đ
Bánh Canh O Linh Xứ Huế - Ông Ích Đường,"27 Ông Ích Đường, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",1.0,"Quán ăn-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",06:00 - 13:00,25.000đ -40.000đ
Khu Sinh Thái Dã Ngoại Khuê Trung,"Thăng Long, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",6.7,"Nhà hàng,Du lịch sinh thái-Món Việt- Gia đình, Nhóm hội, Khách du lịch",09:00 - 22:00,150.000đ -300.000đ
Asagi Store - Trái Cây Sạch,"38 Lê Vĩnh Khanh, P. Hoà An,Quận Cẩm Lệ,Đà Nẵng",7.8,"Shop Online,Mua sắm Online-Món Việt,Quốc tế- Gia đình-Chi nhánh",08:00 - 21:00,40.000đ -500.000đ
Milano Coffee - Mẹ Thứ,"318 Mẹ Thứ,Quận Cẩm Lệ,Đà Nẵng",9.3,"Café/Dessert-Món Việt- Sinh viên, Nhóm hội, Giới văn phòng-Chi nhánh",06:00 - 22:00,12.000đ -29.000đ
Hùng My Quán - Gà Lên Mâm,"302 Nguyễn Hữu Thọ,Quận Cẩm Lệ,Đà Nẵng",7.3,"Quán ăn-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",11:00 - 14:00,50.000đ -250.000đ
Momo Milk Tea - Tôn Đản,"384 Tôn Đản,Quận Cẩm Lệ,Đà Nẵng",8.0,"Café/Dessert-Món Việt- Sinh viên, Nhóm hội, Giới văn phòng",08:00 - 22:00,15.000đ -20.000đ
Logo Foods - Bún Mắm & Ram Cuốn Cải - Bình Thái 1,"121 Bình Thái 1,Quận Cẩm Lệ,Đà Nẵng",9.6,"Ăn vặt/vỉa hè,Quán ăn,Giao cơm văn phòng-Món Miền Trung- Sinh viên, Cặp đôi, Gia đình",07:00 - 22:00,25.000đ -30.000đ
Rốt Quán - Trà Sữa & Ăn Vặt,"Ngã Tư Nhân Hòa 06 - Thu Bồn, P. Hoà Xuân,Quận Cẩm Lệ,Đà Nẵng",5.9,"Café/Dessert-Món Việt- Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Trẻ em",06:00 - 22:30,8.000đ -30.000đ
Tiệm Nhà Nhung - Chân Gà Sốt Thái - 108 Hoàng Dư Khương,"108 Hoàng Dư Khương, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",10.0,"Shop Online-Món Việt- Gia đình, Nhóm hội, Giới văn phòng-Chi nhánh",09:00 - 22:00,55.000đ -75.000đ
Thảo Sugar - Trà Sữa & Mỳ Cay - Yên Thế,"307 Yên Thế, P. Hoà An,Quận Cẩm Lệ,Đà Nẵng",10.0,Quán ăn,13:00 - 22:30,20.000đ -64.000đ
Cơm Gà Hoà An - Cơm Gà Xé Bóp & Cơm Sườn Nướng - Hoà An 25,"21 Hoà An 25, P. Hoà An,Quận Cẩm Lệ,Đà Nẵng",8.5,"Quán ăn-Món Miền Trung- Cặp đôi, Gia đình, Giới văn phòng",10:00 - 21:00,35.000đ -150.000đ
KONG MILKTEA - Trà Sữa & Ăn Vặt - Tôn Đản,"1079 Tôn Đản, P. Hòa Thọ Tây,Quận Cẩm Lệ,Đà Nẵng",9.7,"Ăn vặt/vỉa hè,Café/Dessert-Món Bắc,Món Miền Trung,Món Miền Nam- Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Giới Manager, Khách du lịch, Trẻ em",07:00 - 21:30,
Pha Lê Cafe,"71/12 Tôn Đản,Quận Cẩm Lệ,Đà Nẵng",8.8,Café/Dessert,06:00 - 21:00,10.000đ -30.000đ
Kem Bơ Thiên Thanh,"73 Phạm Thế Hiển, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",7.1,"Ăn vặt/vỉa hè-Món Miền Trung- Nhóm hội, Khách du lịch",07:00 - 22:00,7.000đ -25.000đ
Cơm Gà Phương - Nguyễn Phước Lan,"146 Nguyễn Phước Lan, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",9.0,Quán ăn-Món Việt-Chi nhánh,09:00 - 22:00,20.000đ -40.000đ
Quán Cơm 346,"346 Cách Mạng Tháng 8, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",9.4,"Quán ăn-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",10:00 - 20:00,25.000đ -25.000đ
Cơm Tấm Thanh Huyền,"189 Lê Đại Hành,Quận Cẩm Lệ,Đà Nẵng",6.0,"Quán ăn-Món Miền Trung- Sinh viên, Cặp đôi, Gia đình",10:30 - 20:00,20.000đ -30.000đ
Bếp Bà Ngoại - Ram Cuốn Cải & Hoành Thánh Chiên - 04 Vũ Trọng Hoàng,"04 Vũ Trọng Hoàng, P. Hoà An,Quận Cẩm Lệ,Đà Nẵng",10.0,"Café/Dessert,Quán ăn",09:00 - 22:00,30.000đ -100.000đ
Đông Phương Quán - Đặc Sản Bò Tơ Quảng Nam,"24B Thăng Long, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",3.4,"Nhà hàng-Món Quảng- Gia đình, Nhóm hội, Giới văn phòng",10:00 - 22:00,50.000đ -150.000đ
Bánh Tráng Mr.Benly,"456/11 Tôn Đản, P. Hoà An,Quận Cẩm Lệ,Đà Nẵng",8.5,"Ăn vặt/vỉa hè-Món Việt- Gia đình, Nhóm hội, Giới văn phòng-Chi nhánh",12:30 - 20:00,25.000đ -35.000đ
Bánh Xèo Bé Uyên - Đặc Sản Đại Lộc,"224 Tố Hữu,Quận Cẩm Lệ,Đà Nẵng",6.7,"Quán ăn-Món Quảng- Sinh viên, Gia đình, Giới văn phòng, Khách du lịch",09:30 - 22:30,10.000đ -30.000đ
7 Nga - Bê Thui Nóng,"71 Yên Thế, P. Hòa An,Quận Cẩm Lệ,Đà Nẵng",7.8,"Quán nhậu-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",08:00 - 20:30,35.000đ -100.000đ
Thống Gia Restaurant - Ẩm Thực Dân Dã,"432 Thăng Long, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.9,"Nhà hàng-Món Việt,Món Trung Hoa,Tiệp (Séc),Ý- Cặp đôi, Gia đình, Giới văn phòng, Giới Manager",08:30 - 23:00,50.000đ -1.000.000đ
Karma Waters - Quán Chay Dòng Nước Cam Lồ,"110 Trần Huy Liệu,Quận Cẩm Lệ,Đà Nẵng",9.0,"Quán ăn-Món Việt- Gia đình, Giới văn phòng",06:00 - 21:00,7.000đ -150.000đ
Quán Vịt Đại Lộc,"16 Đông Thạnh 2,Quận Cẩm Lệ,Đà Nẵng",3.1,Quán ăn-Món Quảng- Gia đình,17:00 - 22:00,20.000đ -60.000đ
Ông Mẫn - Bánh Xôi Tiêu,"196 Hà Huy Giáp,Quận Cẩm Lệ,Đà Nẵng",6.3,"Quán ăn-Món Việt- Sinh viên, Gia đình, Giới văn phòng",14:30 - 22:00,7.000đ -20.000đ
Cơm Tấm,"120 Tôn Đản,Quận Cẩm Lệ,Đà Nẵng",8.2,"Quán ăn-Món Việt- Cặp đôi, Gia đình, Nhóm hội",10:30 - 20:00,20.000đ -30.000đ
Gà Nướng Loan Hiệp - Phạm Hùng,"225 Phạm Hùng,Quận Cẩm Lệ,Đà Nẵng",9.2,"Ăn vặt/vỉa hè-Món Việt- Cặp đôi, Gia đình, Nhóm hội",16:00 - 09:00,
Hạnh Quán - Cá Nục Nướng,"119 Xuân Thủy, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",5.7,"Quán ăn-Món Việt- Sinh viên, Gia đình, Nhóm hội",10:00 - 22:00,7.000đ -120.000đ
Quán Thiệt - Cháo Vịt & Lòng,"(đối diện 87 Tú Mỡ) lô 286 Tú Mỡ, P. Hòa An,Quận Cẩm Lệ,Đà Nẵng",9.0,"Quán ăn-Món Miền Trung- Sinh viên, Gia đình, Nhóm hội, Giới văn phòng",12:00 - 22:30,15.000đ -40.000đ
Bò Né Cô Trinh - 302 Mẹ Thứ,"302 Mẹ Thứ, Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",9.6,"Quán ăn-Món Miền Trung- Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Giới Manager, Khách du lịch, Trẻ em",05:00 - 11:00,15.000đ -20.000đ
Fucking Love Milk Tea,"212 Lương Nhữ Hộc, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",6.2,"Café/Dessert-Món Việt- Sinh viên, Cặp đôi, Nhóm hội, Giới văn phòng",06:30 - 23:00,15.000đ -30.000đ
Maybe - Coffee & Drinks,"173 Lương Nhữ Hộc, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.0,"Café/Dessert-Món Việt- Sinh viên, Cặp đôi, Nhóm hội",07:00 - 22:00,15.000đ -200.000đ
Bánh Canh O Hồng - Đặc Sản Quảng Trị - 109 Lê Quảng Chí,"109 Lê Quảng Chí, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",7.6,"Quán ăn-Món Miền Trung- Cặp đôi, Gia đình, Nhóm hội",07:00 - 20:00,20.000đ -35.000đ
Quán Loan - Bún Bò & Giò Heo,"3 Trần Huy Liệu,Quận Cẩm Lệ,Đà Nẵng",6.8,"Quán ăn-Món Miền Trung- Sinh viên, Cặp đôi, Gia đình",06:00 - 21:30,15.000đ -25.000đ
Trà Sữa Ông Thọ - Bàu Tràm 2,"44 Bàu Tràm 2, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",6.6,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Cặp đôi, Nhóm hội-Chi nhánh",09:30 - 23:00,10.000đ -25.000đ
Đất Quảng - Gà & Hải Sản Tươi Sống,"Lê Đại Hành,Quận Cẩm Lệ,Đà Nẵng",6.1,"Quán ăn,Quán nhậu-Món Miền Trung- Cặp đôi, Gia đình, Nhóm hội",09:00 - 22:30,30.000đ -200.000đ
Đồng Dao - Hải Sản Bình Dân,"117 Lê Đại Hành, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",9.2,"Quán ăn-Món Miền Trung- Cặp đôi, Gia đình, Nhóm hội",09:00 - 22:00,40.000đ -200.000đ
Quảng Đà Quán - Lẩu Tiến Vua,"172 Nguyễn Phước Lan,Quận Cẩm Lệ,Đà Nẵng",7.4,"Quán ăn,Quán nhậu-Món Việt- Cặp đôi, Gia đình, Nhóm hội",10:00 - 23:30,30.000đ -399.000đ
Bún Đậu Mắm Tôm Phất Lộc 3 - Phước Lý 1,"51 Phước Lý 1,Quận Cẩm Lệ,Đà Nẵng",2.2,"Quán ăn-Món Bắc- Sinh viên, Gia đình, Nhóm hội-Chi nhánh",11:00 - 22:00,10.000đ -50.000đ
Quán Mậu 2- Bánh Tráng Cuốn Thịt Heo - Đỗ Thúc Tịnh,"80 Đỗ Thúc Tịnh, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",9.3,Quán ăn,07:00 - 21:00,20.000đ -70.000đ
Quán 09 - Bò Né,"09 Nguyễn Quyền,Quận Cẩm Lệ,Đà Nẵng",7.8,Quán ăn-Món Việt- Gia đình,06:00 - 10:30,15.000đ -25.000đ
Cháo Lươn Nghệ An,"69 Nguyễn Đình Tứ,Quận Cẩm Lệ,Đà Nẵng",8.2,"Quán ăn-Món Việt- Sinh viên, Gia đình, Nhóm hội",06:00 - 10:30,15.000đ -30.000đ
Si Quán - Nhậu Bình Dân,"204 Hoàng Thế Thiện, P. Hoà Xuân,Quận Cẩm Lệ,Đà Nẵng",6.4,"Quán nhậu-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",09:00 - 22:30,70.000đ -220.000đ
"Quán Ăn O Ni Huế - Cháo Gạo Lứt , Xôi , Súp - Nguyễn Đình Tứ","K91/2 Nguyễn Đình Tứ, P. Hòa An,Quận Cẩm Lệ,Đà Nẵng",8.6,"Quán ăn-Món Việt- Cặp đôi, Gia đình-Chi nhánh",16:00 - 21:30,12.000đ -25.000đ
Bún Bò Huế - Đông Ba Quán,"38 Phan Triêm, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",9.0,Quán ăn,06:00 - 20:00,10.000đ -50.000đ
Bánh Canh Tranh - Nguyễn Phong Sắc,"107 Nguyễn Phong Sắc,Quận Cẩm Lệ,Đà Nẵng",6.5,"Quán ăn-Món Việt- Gia đình, Giới văn phòng",06:30 - 14:00,20.000đ -25.000đ
Grand T Coffee - Thành Thái,"109 Thành Thái, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.0,"Café/Dessert-Món Việt- Sinh viên, Nhóm hội, Giới văn phòng",09:00 - 21:00,15.000đ -25.000đ
Cơm Tấm Thanh Trường - Lương Nhữ Hộc,"139 Lương Nhữ Hộc,Quận Cẩm Lệ,Đà Nẵng",9.0,"Ăn vặt/vỉa hè,Giao cơm văn phòng-Món Việt,Món Á- Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Giới Manager, Khách du lịch, Trẻ em-Chi nhánh",09:00 - 13:00,5.000đ -25.000đ
Bún Chả Cá Nhựt,"3 Nguyễn Nhàn, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",10.0,"Quán ăn-Món Miền Trung- Sinh viên, Gia đình, Giới văn phòng",05:30 - 12:00,15.000đ -25.000đ
Súp Cua Thảo - Nguyễn Khoa Chiêm,"4 Nguyễn Khoa Chiêm, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",7.7,"Quán ăn-Món Miền Trung- Cặp đôi, Gia đình, Nhóm hội",10:30 - 21:00,20.000đ -40.000đ
Bánh Tráng Kẹp Cô Phương,"295 Huy Cận,Quận Cẩm Lệ,Đà Nẵng",7.6,"Quán ăn-Món Miền Trung- Cặp đôi, Gia đình, Nhóm hội",14:30 - 22:00,12.000đ -15.000đ
Bánh Kẹp Bà Già,"K383/31 Cách Mạng Tháng 8, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",6.3,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Gia đình, Nhóm hội",14:00 - 21:30,15.000đ -25.000đ
Trứng Vịt Lộn Bà Thơm,"157 Ông Ích Đường, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",5.8,"Ăn vặt/vỉa hè-Món Việt- Gia đình, Nhóm hội",16:00 - 23:00,6.000đ -15.000đ
Phố Cổ Hà Nội - Nem Chua Rán Số 1 - Tôn Đản,"379 Tôn Đản, P. Hoà An,Quận Cẩm Lệ,Đà Nẵng",5.5,"Ăn vặt/vỉa hè-Hà Nội- Sinh viên, Cặp đôi, Nhóm hội, Giới văn phòng-Chi nhánh",16:30 - 22:00,6.000đ -49.000đ
Trần Nguyễn - Bún Đậu Mắm Tôm Hà Nội,"26 Đinh Châu, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",9.9,"Quán ăn-Món Bắc- Cặp đôi, Gia đình, Nhóm hội-Chi nhánh",15:30 - 21:00,30.000đ -35.000đ
Quán Chị Nhung - Bún Trộn,"Lô 30 Chợ Cẩm Lệ ( Ngã Tư Nguyễn Văn Huyên - Hoàng Xuân Hãn ), P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.7,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Cặp đôi, Gia đình",13:30 - 19:00,15.000đ -20.000đ
Cơm Gà Bà Phượng - Nguyễn Phước Tần,"50 - 52 Nguyễn Phước Tần, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",6.5,"Quán ăn-Món Việt- Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng-Chi nhánh",06:30 - 21:00,30.000đ -45.000đ
Gà Nướng Cơm Lam,"100 Lê Đại Hành, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",6.8,"Quán ăn-Món Việt- Cặp đôi, Gia đình, Nhóm hội",11:00 - 22:00,
Trần Lê - Bánh Tráng Thịt Heo,"275 Lê Đại Hành, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",7.7,"Quán ăn-Món Miền Trung- Gia đình, Nhóm hội",10:30 - 21:00,40.000đ -55.000đ
Amy - Chè Bưởi & Bò Rim,"1 Văn Cận, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",7.0,"Ăn vặt/vỉa hè-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",11:00 - 21:00,15.000đ -60.000đ
Gà Nướng Cơm Lam - Shop Online,"K523/55 Cách Mạng Tháng 8, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",9.1,"Shop Online-Tây Nguyên- Gia đình, Nhóm hội, Giới văn phòng",08:00 - 20:00,13.000đ -210.000đ
Anh Ba - Bánh Mì Chấm & Bánh Mì Cắt Sài Gòn - Nguyễn Nhàn,"1B Nguyễn Nhàn, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",10.0,Quán ăn-Chi nhánh,15:00 - 23:00,3.000đ -10.000đ
"HƯƠNG Quán - Bún Đậu, Trà Sữa & Ăn Vặt","28 Trần Quý Hai, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",7.6,"Quán ăn-Món Việt- Sinh viên, Cặp đôi, Nhóm hội",10:00 - 15:30,10.000đ -50.000đ
"Hồng Vân Food - Bún Chả Cá, Bánh Canh & Bánh Mỳ","309 Lê Quảng Chí, P.Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",9.0,Quán ăn,06:30 - 13:30,
Mì Quảng Nhất Uy,"31 Nguyễn Huy Tưởng, P. Hòa An,Quận Cẩm Lệ,Đà Nẵng",4.2,"Quán ăn-Món Miền Trung- Gia đình, Nhóm hội",06:00 - 21:30,15.000đ -20.000đ
Cô Hòa - Bánh Canh & Mì Quảng - Ông Ích Đường,"52/8 Ông Ích Đường, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",9.0,"Ăn vặt/vỉa hè-Món Miền Trung- Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Khách du lịch-Chi nhánh",10:30 - 20:30,4.000đ -40.000đ
Tân Ngọc Nữ Quán - Hải Sản & Đồng Quê,"422 Thăng Long,Quận Cẩm Lệ,Đà Nẵng",9.0,"Nhà hàng-Món Miền Trung- Cặp đôi, Gia đình, Nhóm hội",09:00 - 23:00,10.000đ -200.000đ
Chuông Gió - Quán Nhậu Đặc Sản,"406 Thăng Long,Quận Cẩm Lệ,Đà Nẵng",9.1,"Nhà hàng-Món Bắc,Món Miền Trung- Cặp đôi, Gia đình, Nhóm hội",10:00 - 22:00,50.000đ -300.000đ
Thúy - Quán Nhậu Bình Dân,"37 Hồ Đắc Di, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",7.5,"Quán nhậu-Món Việt- Cặp đôi, Gia đình, Nhóm hội",16:00 - 21:00,50.000đ -100.000đ
Hải Sản Ba Bia - Phạm Viết Chánh (Remove),"Lô 1 Phạm Viết Chánh,Quận Cẩm Lệ,Đà Nẵng",9.2,"Quán ăn-Món Việt- Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng",10:00 - 22:00,39.000đ -200.000đ
Tiệm Cơm Tấm Cẩm Lệ,"07 Phước Hòa 1, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.6,"Quán ăn-Món Việt- Cặp đôi, Gia đình, Nhóm hội",10:00 - 13:30,
Mì Quảng Hà,"05 Nguyễn Đức Thiệu, P. Hoà Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",9.4,"Quán ăn-Món Miền Trung- Cặp đôi, Gia đình, Nhóm hội",06:00 - 14:00,15.000đ -40.000đ
Bún Riêu Cua - Trần Đình Nam,"Ngã Ba Trần Đình Nam - Bùi Hiển,Quận Cẩm Lệ,Đà Nẵng",8.3,"Quán ăn-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",05:00 - 11:30,10.000đ -15.000đ
